"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,13
"2",1,282,0.135642136,1,13
"3",2,147,0.070707071,1,13
"4",3,93,0.044733045,1,13
"5",4,37,0.017797018,1,13
"6",5,46,0.022126022,1,13
"7",6,46,0.022126022,1,13
"8",7,22,0.010582011,1,13
"9",8,24,0.011544012,1,13
"10",9,19,0.009139009,1,13
"11",10,19,0.009139009,1,13
"12",11,6,0.002886003,1,13
"13",12,3,0.001443001,1,13
"14",13,8,0.003848004,1,13
"15",14,10,0.004810005,1,13
"16",15,4,0.001924002,1,13
"17",16,5,0.002405002,1,13
"18",17,2,0.000962001,1,13
"19",18,5,0.002405002,1,13
"20",19,7,0.003367003,1,13
"21",20,7,0.003367003,1,13
"22",21,3,0.001443001,1,13
"23",22,1,0.000481,1,13
"24",23,3,0.001443001,1,13
"25",24,5,0.002405002,1,13
"26",27,2,0.000962001,1,13
"27",28,2,0.000962001,1,13
"28",31,1,0.000481,1,13
"29",37,3,0.001443001,1,13
"30",39,1,0.000481,1,13
"31",40,1,0.000481,1,13
"32",41,2,0.000962001,1,13
"33",42,1,0.000481,1,13
"34",45,4,0.001924002,1,13
"35",49,2,0.000962001,1,13
"36",56,3,0.001443001,1,13
"37",57,1,0.000481,1,13
"38",67,1,0.000481,1,13
