"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,17
"2",1,282,0.135642136,1,17
"3",2,147,0.070707071,1,17
"4",3,93,0.044733045,1,17
"5",4,37,0.017797018,1,17
"6",5,46,0.022126022,1,17
"7",6,46,0.022126022,1,17
"8",7,22,0.010582011,1,17
"9",8,24,0.011544012,1,17
"10",9,19,0.009139009,1,17
"11",10,19,0.009139009,1,17
"12",11,6,0.002886003,1,17
"13",12,3,0.001443001,1,17
"14",13,8,0.003848004,1,17
"15",14,10,0.004810005,1,17
"16",15,4,0.001924002,1,17
"17",16,5,0.002405002,1,17
"18",17,2,0.000962001,1,17
"19",18,5,0.002405002,1,17
"20",19,7,0.003367003,1,17
"21",20,7,0.003367003,1,17
"22",21,3,0.001443001,1,17
"23",22,1,0.000481,1,17
"24",23,3,0.001443001,1,17
"25",24,5,0.002405002,1,17
"26",27,2,0.000962001,1,17
"27",28,2,0.000962001,1,17
"28",31,1,0.000481,1,17
"29",37,3,0.001443001,1,17
"30",39,1,0.000481,1,17
"31",40,1,0.000481,1,17
"32",41,2,0.000962001,1,17
"33",42,1,0.000481,1,17
"34",45,4,0.001924002,1,17
"35",49,2,0.000962001,1,17
"36",56,3,0.001443001,1,17
"37",57,1,0.000481,1,17
"38",67,1,0.000481,1,17
