"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,37
"2",1,282,0.135642136,1,37
"3",2,147,0.070707071,1,37
"4",3,93,0.044733045,1,37
"5",4,37,0.017797018,1,37
"6",5,46,0.022126022,1,37
"7",6,46,0.022126022,1,37
"8",7,22,0.010582011,1,37
"9",8,24,0.011544012,1,37
"10",9,19,0.009139009,1,37
"11",10,19,0.009139009,1,37
"12",11,6,0.002886003,1,37
"13",12,3,0.001443001,1,37
"14",13,8,0.003848004,1,37
"15",14,10,0.004810005,1,37
"16",15,4,0.001924002,1,37
"17",16,5,0.002405002,1,37
"18",17,2,0.000962001,1,37
"19",18,5,0.002405002,1,37
"20",19,7,0.003367003,1,37
"21",20,7,0.003367003,1,37
"22",21,3,0.001443001,1,37
"23",22,1,0.000481,1,37
"24",23,3,0.001443001,1,37
"25",24,5,0.002405002,1,37
"26",27,2,0.000962001,1,37
"27",28,2,0.000962001,1,37
"28",31,1,0.000481,1,37
"29",37,3,0.001443001,1,37
"30",39,1,0.000481,1,37
"31",40,1,0.000481,1,37
"32",41,2,0.000962001,1,37
"33",42,1,0.000481,1,37
"34",45,4,0.001924002,1,37
"35",49,2,0.000962001,1,37
"36",56,3,0.001443001,1,37
"37",57,1,0.000481,1,37
"38",67,1,0.000481,1,37
