"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,21
"2",1,282,0.135642136,1,21
"3",2,147,0.070707071,1,21
"4",3,93,0.044733045,1,21
"5",4,37,0.017797018,1,21
"6",5,46,0.022126022,1,21
"7",6,46,0.022126022,1,21
"8",7,22,0.010582011,1,21
"9",8,24,0.011544012,1,21
"10",9,19,0.009139009,1,21
"11",10,19,0.009139009,1,21
"12",11,6,0.002886003,1,21
"13",12,3,0.001443001,1,21
"14",13,8,0.003848004,1,21
"15",14,10,0.004810005,1,21
"16",15,4,0.001924002,1,21
"17",16,5,0.002405002,1,21
"18",17,2,0.000962001,1,21
"19",18,5,0.002405002,1,21
"20",19,7,0.003367003,1,21
"21",20,7,0.003367003,1,21
"22",21,3,0.001443001,1,21
"23",22,1,0.000481,1,21
"24",23,3,0.001443001,1,21
"25",24,5,0.002405002,1,21
"26",27,2,0.000962001,1,21
"27",28,2,0.000962001,1,21
"28",31,1,0.000481,1,21
"29",37,3,0.001443001,1,21
"30",39,1,0.000481,1,21
"31",40,1,0.000481,1,21
"32",41,2,0.000962001,1,21
"33",42,1,0.000481,1,21
"34",45,4,0.001924002,1,21
"35",49,2,0.000962001,1,21
"36",56,3,0.001443001,1,21
"37",57,1,0.000481,1,21
"38",67,1,0.000481,1,21
