"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,11
"2",1,282,0.135642136,1,11
"3",2,147,0.070707071,1,11
"4",3,93,0.044733045,1,11
"5",4,37,0.017797018,1,11
"6",5,46,0.022126022,1,11
"7",6,46,0.022126022,1,11
"8",7,22,0.010582011,1,11
"9",8,24,0.011544012,1,11
"10",9,19,0.009139009,1,11
"11",10,19,0.009139009,1,11
"12",11,6,0.002886003,1,11
"13",12,3,0.001443001,1,11
"14",13,8,0.003848004,1,11
"15",14,10,0.004810005,1,11
"16",15,4,0.001924002,1,11
"17",16,5,0.002405002,1,11
"18",17,2,0.000962001,1,11
"19",18,5,0.002405002,1,11
"20",19,7,0.003367003,1,11
"21",20,7,0.003367003,1,11
"22",21,3,0.001443001,1,11
"23",22,1,0.000481,1,11
"24",23,3,0.001443001,1,11
"25",24,5,0.002405002,1,11
"26",27,2,0.000962001,1,11
"27",28,2,0.000962001,1,11
"28",31,1,0.000481,1,11
"29",37,3,0.001443001,1,11
"30",39,1,0.000481,1,11
"31",40,1,0.000481,1,11
"32",41,2,0.000962001,1,11
"33",42,1,0.000481,1,11
"34",45,4,0.001924002,1,11
"35",49,2,0.000962001,1,11
"36",56,3,0.001443001,1,11
"37",57,1,0.000481,1,11
"38",67,1,0.000481,1,11
