"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,31
"2",1,282,0.135642136,1,31
"3",2,147,0.070707071,1,31
"4",3,93,0.044733045,1,31
"5",4,37,0.017797018,1,31
"6",5,46,0.022126022,1,31
"7",6,46,0.022126022,1,31
"8",7,22,0.010582011,1,31
"9",8,24,0.011544012,1,31
"10",9,19,0.009139009,1,31
"11",10,19,0.009139009,1,31
"12",11,6,0.002886003,1,31
"13",12,3,0.001443001,1,31
"14",13,8,0.003848004,1,31
"15",14,10,0.004810005,1,31
"16",15,4,0.001924002,1,31
"17",16,5,0.002405002,1,31
"18",17,2,0.000962001,1,31
"19",18,5,0.002405002,1,31
"20",19,7,0.003367003,1,31
"21",20,7,0.003367003,1,31
"22",21,3,0.001443001,1,31
"23",22,1,0.000481,1,31
"24",23,3,0.001443001,1,31
"25",24,5,0.002405002,1,31
"26",27,2,0.000962001,1,31
"27",28,2,0.000962001,1,31
"28",31,1,0.000481,1,31
"29",37,3,0.001443001,1,31
"30",39,1,0.000481,1,31
"31",40,1,0.000481,1,31
"32",41,2,0.000962001,1,31
"33",42,1,0.000481,1,31
"34",45,4,0.001924002,1,31
"35",49,2,0.000962001,1,31
"36",56,3,0.001443001,1,31
"37",57,1,0.000481,1,31
"38",67,1,0.000481,1,31
