"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,28
"2",1,282,0.135642136,1,28
"3",2,147,0.070707071,1,28
"4",3,93,0.044733045,1,28
"5",4,37,0.017797018,1,28
"6",5,46,0.022126022,1,28
"7",6,46,0.022126022,1,28
"8",7,22,0.010582011,1,28
"9",8,24,0.011544012,1,28
"10",9,19,0.009139009,1,28
"11",10,19,0.009139009,1,28
"12",11,6,0.002886003,1,28
"13",12,3,0.001443001,1,28
"14",13,8,0.003848004,1,28
"15",14,10,0.004810005,1,28
"16",15,4,0.001924002,1,28
"17",16,5,0.002405002,1,28
"18",17,2,0.000962001,1,28
"19",18,5,0.002405002,1,28
"20",19,7,0.003367003,1,28
"21",20,7,0.003367003,1,28
"22",21,3,0.001443001,1,28
"23",22,1,0.000481,1,28
"24",23,3,0.001443001,1,28
"25",24,5,0.002405002,1,28
"26",27,2,0.000962001,1,28
"27",28,2,0.000962001,1,28
"28",31,1,0.000481,1,28
"29",37,3,0.001443001,1,28
"30",39,1,0.000481,1,28
"31",40,1,0.000481,1,28
"32",41,2,0.000962001,1,28
"33",42,1,0.000481,1,28
"34",45,4,0.001924002,1,28
"35",49,2,0.000962001,1,28
"36",56,3,0.001443001,1,28
"37",57,1,0.000481,1,28
"38",67,1,0.000481,1,28
