"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,26
"2",1,282,0.135642136,1,26
"3",2,147,0.070707071,1,26
"4",3,93,0.044733045,1,26
"5",4,37,0.017797018,1,26
"6",5,46,0.022126022,1,26
"7",6,46,0.022126022,1,26
"8",7,22,0.010582011,1,26
"9",8,24,0.011544012,1,26
"10",9,19,0.009139009,1,26
"11",10,19,0.009139009,1,26
"12",11,6,0.002886003,1,26
"13",12,3,0.001443001,1,26
"14",13,8,0.003848004,1,26
"15",14,10,0.004810005,1,26
"16",15,4,0.001924002,1,26
"17",16,5,0.002405002,1,26
"18",17,2,0.000962001,1,26
"19",18,5,0.002405002,1,26
"20",19,7,0.003367003,1,26
"21",20,7,0.003367003,1,26
"22",21,3,0.001443001,1,26
"23",22,1,0.000481,1,26
"24",23,3,0.001443001,1,26
"25",24,5,0.002405002,1,26
"26",27,2,0.000962001,1,26
"27",28,2,0.000962001,1,26
"28",31,1,0.000481,1,26
"29",37,3,0.001443001,1,26
"30",39,1,0.000481,1,26
"31",40,1,0.000481,1,26
"32",41,2,0.000962001,1,26
"33",42,1,0.000481,1,26
"34",45,4,0.001924002,1,26
"35",49,2,0.000962001,1,26
"36",56,3,0.001443001,1,26
"37",57,1,0.000481,1,26
"38",67,1,0.000481,1,26
