"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,6
"2",1,282,0.135642136,1,6
"3",2,147,0.070707071,1,6
"4",3,93,0.044733045,1,6
"5",4,37,0.017797018,1,6
"6",5,46,0.022126022,1,6
"7",6,46,0.022126022,1,6
"8",7,22,0.010582011,1,6
"9",8,24,0.011544012,1,6
"10",9,19,0.009139009,1,6
"11",10,19,0.009139009,1,6
"12",11,6,0.002886003,1,6
"13",12,3,0.001443001,1,6
"14",13,8,0.003848004,1,6
"15",14,10,0.004810005,1,6
"16",15,4,0.001924002,1,6
"17",16,5,0.002405002,1,6
"18",17,2,0.000962001,1,6
"19",18,5,0.002405002,1,6
"20",19,7,0.003367003,1,6
"21",20,7,0.003367003,1,6
"22",21,3,0.001443001,1,6
"23",22,1,0.000481,1,6
"24",23,3,0.001443001,1,6
"25",24,5,0.002405002,1,6
"26",27,2,0.000962001,1,6
"27",28,2,0.000962001,1,6
"28",31,1,0.000481,1,6
"29",37,3,0.001443001,1,6
"30",39,1,0.000481,1,6
"31",40,1,0.000481,1,6
"32",41,2,0.000962001,1,6
"33",42,1,0.000481,1,6
"34",45,4,0.001924002,1,6
"35",49,2,0.000962001,1,6
"36",56,3,0.001443001,1,6
"37",57,1,0.000481,1,6
"38",67,1,0.000481,1,6
