"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,49
"2",1,282,0.135642136,1,49
"3",2,147,0.070707071,1,49
"4",3,93,0.044733045,1,49
"5",4,37,0.017797018,1,49
"6",5,46,0.022126022,1,49
"7",6,46,0.022126022,1,49
"8",7,22,0.010582011,1,49
"9",8,24,0.011544012,1,49
"10",9,19,0.009139009,1,49
"11",10,19,0.009139009,1,49
"12",11,6,0.002886003,1,49
"13",12,3,0.001443001,1,49
"14",13,8,0.003848004,1,49
"15",14,10,0.004810005,1,49
"16",15,4,0.001924002,1,49
"17",16,5,0.002405002,1,49
"18",17,2,0.000962001,1,49
"19",18,5,0.002405002,1,49
"20",19,7,0.003367003,1,49
"21",20,7,0.003367003,1,49
"22",21,3,0.001443001,1,49
"23",22,1,0.000481,1,49
"24",23,3,0.001443001,1,49
"25",24,5,0.002405002,1,49
"26",27,2,0.000962001,1,49
"27",28,2,0.000962001,1,49
"28",31,1,0.000481,1,49
"29",37,3,0.001443001,1,49
"30",39,1,0.000481,1,49
"31",40,1,0.000481,1,49
"32",41,2,0.000962001,1,49
"33",42,1,0.000481,1,49
"34",45,4,0.001924002,1,49
"35",49,2,0.000962001,1,49
"36",56,3,0.001443001,1,49
"37",57,1,0.000481,1,49
"38",67,1,0.000481,1,49
