"","los.days","count","prop","sample","week"
"1",0.5,1251,0.601731602,1,25
"2",1,282,0.135642136,1,25
"3",2,147,0.070707071,1,25
"4",3,93,0.044733045,1,25
"5",4,37,0.017797018,1,25
"6",5,46,0.022126022,1,25
"7",6,46,0.022126022,1,25
"8",7,22,0.010582011,1,25
"9",8,24,0.011544012,1,25
"10",9,19,0.009139009,1,25
"11",10,19,0.009139009,1,25
"12",11,6,0.002886003,1,25
"13",12,3,0.001443001,1,25
"14",13,8,0.003848004,1,25
"15",14,10,0.004810005,1,25
"16",15,4,0.001924002,1,25
"17",16,5,0.002405002,1,25
"18",17,2,0.000962001,1,25
"19",18,5,0.002405002,1,25
"20",19,7,0.003367003,1,25
"21",20,7,0.003367003,1,25
"22",21,3,0.001443001,1,25
"23",22,1,0.000481,1,25
"24",23,3,0.001443001,1,25
"25",24,5,0.002405002,1,25
"26",27,2,0.000962001,1,25
"27",28,2,0.000962001,1,25
"28",31,1,0.000481,1,25
"29",37,3,0.001443001,1,25
"30",39,1,0.000481,1,25
"31",40,1,0.000481,1,25
"32",41,2,0.000962001,1,25
"33",42,1,0.000481,1,25
"34",45,4,0.001924002,1,25
"35",49,2,0.000962001,1,25
"36",56,3,0.001443001,1,25
"37",57,1,0.000481,1,25
"38",67,1,0.000481,1,25
